categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;19:35:41;11;VILLA DEL PARQUE;TINOGASTA;3450;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;11:23:20;15;AGRONOMIA;NUEVA YORK;3178;-3,46E+13;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;8:03:12;9;PARQUE AVELLANEDA;PERGAMINO;1285;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;01/01/2021;19:40:31;9;LINIERS;CUZCO;306;-3,46E+13;-5,85E+14;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;02/01/2021;11:37:28;6;CABALLITO;BONIFACIO, JOSE;249;-3,46E+14;-5,84E+14;GCS Web;Femenino;Cerrado;15/01/2021;11:43:33
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;18:40:03;9;MATADEROS;GUAMINI;2353;-3,47E+14;-5,85E+14;GCS Web;Masculino;Cerrado;07/01/2021;11:17:19
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;12:17:22;12;VILLA URQUIZA;BARZANA;2177;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;03/01/2021;20:23:29;11;VILLA DEL PARQUE;LAMARCA, EMILIO;2749;-3,46E+14;-5,85E+14;GCS Web;Femenino;Cerrado;18/01/2021;14:10:39
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;13:53:56;10;VILLA LURO;CORTINA;115;-3,46E+14;-5,85E+13;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;19:49:04;15;CHACARITA;CHARLONE;19;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;3:47:21;9;LINIERS;MONTIEL;1440;-3,47E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;01/01/2021;20:06:26;7;PARQUE CHACABUCO;DEL COMERCIO;952;-3,46E+14;-5,84E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;18:30:56;12;SAAVEDRA;MANZANARES;3435;-3,46E+14;-5,85E+14;App BA 147;Femenino;Cerrado;07/01/2021;11:03:45
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;03/01/2021;15:19:13;5;ALMAGRO;TROILO, ANIBAL;963;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;12:28:26;11;VILLA DEL PARQUE;ARREGUI;3538;-3,46E+14;-5,85E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;11:17:19;10;MONTE CASTRO;SANABRIA;2581;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;16:18:02;15;CHACARITA;DORREGO AV.;1315;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;03/01/2021;11:58:01;6;CABALLITO;BONIFACIO, JOSE;251;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;14:40:51;11;VILLA DEVOTO;MISTRAL, GABRIELA;3654;-3,46E+14;-5,85E+13;App BA 147;Femenino;Cerrado;05/01/2021;9:51:04
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;10:12:27;11;VILLA DEVOTO;MISTRAL, GABRIELA;3652;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;17:44:09;7;FLORES;DIRECTORIO AV.;;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;1:27:09;14;PALERMO;RAVIGNANI, EMILIO, DR.;2339;-3,46E+13;-5,84E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;9:17:25;15;CHACARITA;FRAGA;600;-3,46E+14;-5,85E+14;App BA 147;Femenino;Cerrado;04/01/2021;20:05:46
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;23:02:23;14;PALERMO;CIUDAD DE LA PAZ;198;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;04/01/2021;10:54:43;15;VILLA CRESPO;SERRANO;820;-3,46E+14;-5,84E+14;Mail 147;Masculino;Cerrado;12/02/2021;14:51:43
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;8:31:04;15;CHACARITA;FRAGA;921;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;04/01/2021;20:05:41
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;3:09:41;9;LINIERS;MONTIEL;1138;-3,47E+14;-5,85E+13;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;02/01/2021;11:55:04;12;SAAVEDRA;CORREA;4570;-3,46E+14;-5,85E+13;App BA 147;Femenino;Cerrado;07/01/2021;11:01:44
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;17:15:00;11;VILLA DEL PARQUE;SANTO TOME;2623;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;11:27:14;4;NUEVA POMPEYA;SAENZ AV.;80;-3,46E+14;-5,84E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;04/01/2021;20:39:03;15;VILLA ORTUZAR;PINO, VIRREY DEL;4018;-3,46E+12;-5,85E+13;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;04/01/2021;21:15:53;9;LINIERS;ANDALGALA;1274;-3,47E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;8:32:55;15;CHACARITA;FRAGA;923;-3,46E+14;-5,85E+13;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;14:57:05;11;VILLA DEL PARQUE;LLAVALLOL;2914;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;16:58:04;3;BALVANERA;URIBURU JOSE E., PRES.;619;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;16:20:53;6;CABALLITO;BOGOTA;323;-3,46E+14;-5,84E+14;GCS Web;Femenino;Cerrado;04/01/2021;19:06:34
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;17:22:06;3;SAN CRISTOBAL;HUMBERTO 1°;2500;-3,46E+14;-5,84E+14;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;04/01/2021;9:40:55;5;BOEDO;CONSTITUCION;3377;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;14:54:28;10;FLORESTA;TRES ARROYOS;3967;-3,46E+14;-5,85E+13;App BA 147;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;16:28:57;7;PARQUE CHACABUCO;MORENO, JOSE MARIA AV.;1890;-3,46E+14;-5,84E+14;GCS Web;Femenino;Cerrado;05/01/2021;19:22:38
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;21:48:31;5;BOEDO;INCLAN;4300;-3,46E+14;-5,84E+14;App BA 147;Femenino;Cerrado;05/01/2021;10:37:37
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;03/01/2021;15:43:39;11;VILLA DEL PARQUE;SASTRE, MARCOS;3154;-3,46E+14;-5,85E+14;GCS Web;Femenino;Cerrado;07/01/2021;11:06:57
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;20:29:57;14;PALERMO;CABRERA, JOSE A.;4650;-3,46E+14;-5,84E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;13:16:30;10;VELEZ SARSFIELD;YERBAL;4314;-3,46E+14;-5,85E+14;GCS Web;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;14:05:36;10;FLORESTA;CHIVILCOY;1450;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;07/01/2021;9:42:19
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;04/01/2021;14:44:38;1;SAN NICOLAS;PERON, JUAN DOMINGO, TTE. GENERAL;990;-3,46E+14;-5,84E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;04/01/2021;14:45:45;6;CABALLITO;RIVADAVIA AV.;6095;-3,46E+14;-5,85E+13;App BA 147;Masculino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;12:48:41;7;FLORES;DIRECTORIO AV.;1906;-3,46E+14;-5,85E+14;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;9:54:15;11;VILLA DEVOTO;JUAREZ, BENITO;3567;-3,46E+14;-5,85E+14;App BA 147;Masculino;Cerrado;18/01/2021;11:14:05
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;11:54:35;8;VILLA RIACHUELO;MONTIEL;5497;-3,47E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;14:04:39;15;CHACARITA;CESPEDES;3539;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;13:31:15;7;FLORES;CALCENA;301;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
LIMPIEZA Y RECOLECCIÓN;LIMPIEZA DE VÍA PÚBLICA;DESRATIZAR, DESINSECTAR Y DESINFECTAR EN VÍA PÚBLICA;SOLICITUD;05/01/2021;14:36:15;12;VILLA PUEYRREDON;HELGUERA;5387;-3,46E+14;-5,85E+14;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;16:50:55;11;VILLA SANTA RITA;NAZCA AV.;1330;-3,46E+14;-5,85E+14;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;;HIGIENIZACIÓN, DESRATIZACIÓN, SANEAMIENTO DE TERRENO BALDÍO/CASA ABANDONADA;SOLICITUD;05/01/2021;8:50:19;15;PATERNAL;CUCHA CUCHA;2450;-3,46E+14;-5,85E+14;App BA 147;Masculino;Abierto;;
